accommod,unit,hotelsize,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,TOTAL,EU27_2007	48.95 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,TOTAL,EU27_2020	49.17 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,TOTAL,EU28	49.17 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,TOTAL,FI	41.99 	41.14 	41.5 	40.25 	38.92 	38.3 	39 	40 
BEDPL,PC,TOTAL,FR	50 	50.3 	48.9 	46.3 	47 	46.5 	47.4 	48.3 
BEDPL,PC,TOTAL,HR	60.3 	59.5 	59.5 	56.5 	53.5 	52.7 	53.2 	53.1 
BEDPL,PC,TOTAL,HU	41.9 	41.5 	40.6 	38.3 	36.3 	35 	33.5 	32.1 
BEDPL,PC,TOTAL,IE	: 	: 	: 	54 e	52 e	46 e	44 e	43 e
BEDPL,PC,TOTAL,IS	51.1 	: 	: 	54.9 	0.49 	44.6 	37.4 	39.8 
BEDPL,PC,TOTAL,IT	49 	48.3 	46.1 	43.7 	42.5 	40.6 	40.5 	40.9 
BEDPL,PC,TOTAL,LI	30.2 	28.7 	26.1 	23.7 	27.6 	29.4 	31.7 	30.5 
BEDPL,PC,TOTAL,LT	44 	42.7 	40.8 	39 	36.8 	37.1 	36.8 	35 
BEDPL,PC,TOTAL,LU	: 	31.46 	31.28 	33.19 	39.35 	35.1 	31.8 	30.6 
BEDPL,PC,TOTAL,LV	43.3 	43.6 	39.61 	37 	36.3 	39.8 	35.9 	35.8 
BEDPL,PC,TOTAL,ME	: 	: 	34.9 	33.7 	35.2 	: 	: 	30 
BEDPL,PC,TOTAL,MK	27.5 	26.4 	24.3 	22 	22.99 	22.5 	34.3 	: 
BEDPL,PC,TOTAL,MT	66.2 	68.2 	66.4 	64.4 	64.3 	63.8 	60.5 	57.6 
BEDPL,PC,TOTAL,NL	50.2 	50.9 	50.4 	47.6 	45.6 	44.2 	42.8 	42.3 
BEDPL,PC,TOTAL,NO	: 	: 	: 	38.5 	37.3 	35.7 	35.1 	35.4 
BEDPL,PC,TOTAL,PL	41.7 	40.8 	39.8 	38.6 	36.6 	34.7 	33.7 	33.1 
